"userID","filmID","rating","timestamp"
196,242,3,881250949
186,300,3,891717742
22,373,1,878887116
244,51,2,880606923
166,343,1,886397596
298,470,4,884182806
115,265,2,881171488
253,461,5,891628467
305,447,3,886324817
6,86,3,883603013
62,257,2,879372434
286,1004,5,879781125
200,222,5,876042340
210,40,3,891035994
224,29,3,888104457
303,778,3,879485318
122,383,5,879270459
194,272,2,879539794
291,1032,4,874834944
234,1174,2,892079237
119,388,4,886176814
167,482,4,892738452
299,144,4,877881320
291,118,2,874833878
308,1,4,887736532
95,541,2,879196566
38,95,5,892430094
102,761,2,883748450
63,275,4,875747401
160,234,5,876861185
50,246,3,877052329
301,98,4,882075827
225,193,4,879539727
290,88,4,880731963
97,194,3,884238860
157,272,4,886890835
181,1071,1,878962623
278,598,5,891295330
276,789,1,874791932
7,32,4,891350932
10,16,4,877888877
284,301,4,885329322
201,970,2,884114233
276,559,3,874791805
287,324,5,875333916
246,201,5,884921594
242,1127,5,879741196
249,241,5,879641194
99,4,5,886519097
178,329,3,882823437
251,100,4,886271884
81,428,2,876535131
260,319,4,890618898
25,181,5,885853415
59,196,5,888205088
72,673,2,880037164
87,380,4,879877127
290,143,5,880474293
42,419,5,881107687
292,510,4,881103977
115,20,3,881171009
20,286,1,879667584
201,219,4,884112673
13,521,3,882141053
246,910,4,884920949
138,26,5,879024232
167,232,1,892738341
60,423,5,883326620
57,301,5,883698581
223,272,4,891550094
189,507,4,893277702
243,15,3,879987440
92,1039,1,890251826
246,412,3,884923047
194,165,4,879546723
241,683,2,887249482
178,248,4,882823954
254,1433,3,886475558
293,5,3,888906576
127,229,5,884364867
225,237,5,879539643
299,229,3,878192429
225,476,5,879540748
276,54,3,874791025
291,144,5,874835091
222,362,4,878183381
267,513,5,878971773
42,399,3,881108684
11,111,4,891903862
95,620,4,888954412
8,335,4,879361873
162,25,4,877635573
87,1006,4,879876194
279,154,5,875296291
145,273,2,885557505
119,1143,5,874781198
62,494,4,879373848
62,378,3,879375537
28,209,4,881961214
135,23,4,879857765
32,292,3,883709863
90,378,5,891383835
286,208,4,877531942
293,678,3,888905170
216,144,4,880234639
166,325,5,886397722
250,492,4,878090499
271,132,5,885848672
160,174,5,876860807
265,118,4,875320714
198,494,3,884207492
42,96,5,881107178
168,151,5,884288058
110,304,4,886987260
58,144,4,884304936
90,643,4,891384754
271,343,4,885844430
62,21,3,879373460
279,825,3,881375854
237,509,4,879376641
94,782,4,891720887
128,481,3,879966895
298,314,4,884182806
44,195,5,878347874
264,200,5,886122352
194,381,2,879524643
72,195,5,880037702
222,743,5,883815120
250,264,3,878089182
41,265,3,890687042
224,245,3,888082216
82,135,3,878769629
262,1137,4,879791710
293,467,3,888904884
216,653,3,880245029
250,140,3,878092059
59,23,5,888205300
286,375,5,877533771
244,808,4,880605185
7,475,4,891352010
174,364,1,886434402
87,272,4,879876734
194,1201,2,879551380
82,1124,2,884714402
13,829,2,882139746
13,270,4,884538403
244,749,2,880605157
305,423,5,886323090
95,780,2,888954930
43,14,2,883955745
299,946,4,889502823
57,415,3,883698454
84,401,3,883452363
269,499,4,891449922
299,111,3,877878184
194,462,4,879525876
160,135,4,876860807
99,246,3,885678247
10,482,4,877886846
259,117,4,874724988
85,423,3,879456350
